artist,song,comment,MIDI / PDF,lyrics
Andre Hazes,Laat Me Vrij,,,"Turn around
I want to ask you let me go
You look at me
I just want to be so truly free
I want nothing more
Nothing for you
It's really better this way
No it's been fun
I continue but without you
It is not
I do not want anymore
It reminds me already really not very
Let me free to let me go
Forget what we have done
Forget me
No no kiss
Before I go out the door here
It's so good
I'm not here because it must
It is over
Yes really over
I really feel nothing for you
No, it's like I was going on but without wife
It is not
I do not want anymore
It reminds me already really not very
Let me free to let me go
Forget what we have done
Forget me
Pacific Coast there is the door
Here you have the keys
Let everything stand
That's for you
It is not
I do not want anymore
It reminds me already really not very
Let me free to let me go
Forget what we have done
Forget me"
Andre Hazes,Ik Ben Daar,,,"I am there

If you really need me hard

Oooh, I'm there

Did you think that I forget

I am there

I will always fight for you

I fight me die for you

I'm there where you go

I am there

A shadow now falls on me

But I'm there

There will also be light again

I'm there as a thank you for all your love

What you have given me

I am there

I can not without you my darling

I am there

That, I believe, really deep in my heart

I am there

You know, I can not without you

I'm there, believe me

The day is coming

You trust me again

Believe me

I am there

I am there

I can not without you my darling

I am there

That, I believe, really deep in my heart

I am there

You know, I can not without you

I'm there, believe me"
Andre Hazes,Over En Uit,,,"I look at your face
And kiss your eyes
We got enough time in those days
I know your mouth, I know you laugh
But you rarely said what you saw
And the night was short for my questions
I listened so bad
To the voice of my heart
For me it was not a game
But for you it was though

Over and out, it's over
Over and out, it's over
You have deceived me boundless
You give nothing to me
Over and out, it's over
Over and out, I can not take it anymore
It has reached the point where I let you go
Over and out

You put your hand in mine
That moment remains with me
I can still see the tears in your eyes
You walked away from me
You explained to me
Why me all this time had lied
I did not believe what one of you said
But I know better now
Just go away, you are now free

Over and out, it's over
Over and out, it's over
You have deceived me boundless
You give nothing to me
Over and out, it's over
Over and out, I can not take it anymore
It has reached the point where I let you go

Over and out, it's over
Over and out, it's over
You have deceived me boundless
You give nothing to me
Over and out, it's over
Over and out, I can not take it anymore
It has reached the point where I let you go

Over and out"
Andre Hazes,Zie Ik Jou Maar Even,,,"It is night, it is cold
I will wait until you come home
I look up at your window
There are still no lights on
It's getting colder and chilly
My collar pulled high
Oh, what time you come home
I am so cold

I see you but equally
That I'm tevree
Then I go back home
Another hour TV
I see you but equally
Yes, I've had enough
I am happy again
Until tomorrow morning

Yes, I've been wrong
This should never have happened
Really, I feel so stupid
I did not expect this
It gbeurd, so sorry
This is not good to talk
It's too late, it's over
I stand in the cold

I see you but equally
That I'm tevree
Then I go back home
Another hour TV
I see you but equally
Yes, I've had enough
I am happy again
Until tomorrow morning

Now drop some drops
But that apparently belongs to
Oh, how long must I wait
Do you want to see, this is my moment

I see you but equally
Yes, I've had enough
I am happy again
Until tomorrow morning
Oooh"
Andre Hazes,Laat Mij Zo Leven,,,"You only live once in this world
So I make some of
I live the way I want
And I take what I can get
Let me say no more
That is past tense
I do what I want in all honesty

'T Get some time for myself
That was, I forgot
It's time for you and me
And that everyone should know
There is only one in one life
That hit me yet can
The rest may view it
I go my own way

Let me live like
Let me just go there own way
Let me live like
Because I can around the world

I sometimes sometimes things
I really must leave
But I will not complain
Because I feel good
I live one's own life
Whatever one thinks of
It is one's own life
Owh I do own one sentence

'T Get some time for myself
I had forgotten
It's time for you and me
And that everyone should know
Is the only one living in it still can get me
And the rest can view it
Because I'm going there own way

Let me live like
Let me just go there own way
Let me live like
Because I can around the world

'T get time for myself
Was forgotten
It's time for you and me
That everyone should know
Der is one in one life
That hit me yet can
The rest may view it
Because I'm going there own way

Let me live like
Let me just go there own way
Let me live like
Because I can around the world"
Andre Hazes,Diep In Mijn Hart,,,"It's sad to walk here in the rain
How often I walked with you through this street?
You were so young and so shy
We talked about getting married sooner or later

You told me to wait for you
I did not know but I remained faithful

Deep down in my heart
I know you're too young for me
Deep down in my heart
I suddenly knew that ignores

Deep down in my heart
A voice said: ""This is nothing for you
She is young, she knows nothing of faith
If she goes soon be too late ""

Now you're a woman who laughs at life
You make friends that I still subconsciously hate
I will never forgive myself this
It is as if love does not exist

I hope you find happiness with that person
It's my own fault, you can not do anything here

Deep down in my heart
I know you're too young for me
Deep down in my heart
I suddenly knew that ignores

Deep down in my heart
A voice said: ""This is nothing for you
She is young, she knows nothing of faith
If she goes soon be too late ""

Deep down in my heart
I know you're too young for me
Deep down in my heart
I suddenly knew that ignores

Deep down in my heart
A voice said: ""This is nothing for you
She is young, she knows nothing of faith
If she goes soon be too late """
Andre Hazes,Papa,,,"Here I am and I do not know what to say
And of all understand hij't
Later, perhaps it is redeemed
But later it still takes such a time

His little hand grabs my hand
Dad you going to leave us
Because there is a large suitcase down the corridor
You might not come back Mamma said

Chorus:
He squeezes me gently in my hand
Dad can I go with you
Then you do not miss me
And I'm never scared
We are always together with his two

Since I am shooting a lump in my throat
I lift him here at last
I am ashamed of my tears as he looks at me
Dad when I see you again

Chorus: x2

We are always together with his two"
Andre Hazes,Ik Hou Van Jou,,,"Why did you let me do so alone
For the first time I was number one tonight
You said ""I love you"" a thousand times
But now
I'm still alone again

Yet I know you already regret
Because you do not understand now
I love you so much
I never want another woman
Yeah, I just thought of you
I gave you love and faithfulness
You can think what you want, darling
I love you

It costs you do not bother
Because I'm nothing
An expensive Roll's for you
For me, an old bicycle
Forget what you've been self
Why why I'm alone again

Yet I feel you already regret, because now you do not understand
I love you so much
I never want another woman
You just gave me what I wanted
All your love and your faithfulness
You can think what you want, darling
I love you

Yet I feel you already regret
Because you do not understand now
I love you so much
I never want another woman
You gave me everything I wanted, all your love and your faithfulness
You can think what you want, darling
I love you"
Andre Hazes,Zoveel Jaren,,,"It seemed so easy maybe
To leave me
But you now have problems
Now let me go you good
And do not come whining to me
And do not lie to me
I've heard everything
What you did
So many years, so many years discarded
But bowing to you I never
Hand in hand we walked together
The whole world was ours
For you do not really matter
You went your own way
You know, I have many friends
Who saw what you did
You played but lost
Yes, you're lost everything
So many years, so many years discarded
But bow down to you, I do not
I let you go
But you're not done yet
You touched my heart
Yes, now your end, darling
So many years, so many years discarded
But bow down to you, I do not
So many years, so many years discarded
But bow down to you, I do not"
Andre Hazes,Ik Ben Weer Terug,,,"I am back again
I really improved my life
Get back
I am the winner of a strjd which was so hard
I am back again
You do for me not to be afraid, I'm back
I can really live again believe me
Just believe me

Ref: 2x
Do not want to live on the street
Wants to return to normal zaols it comes
Try me just to live
Yes you will experience what
Because I know now really sure I'm back

It was a struggle
I'm here I'll never get out but I won
I'm really not insecure but what I want
Yes that is you
Because I'm sure you still love me
I can give you now everything again'm back
Yes really back

Ref: 2x
Do not want to live on the street
Wants to return to normal zaols it comes
Try me just to live
Yes you will experience what
Because I know now really sure I'm back"
Andre Hazes,Opnieuw Beginnen,,,"Yes, the nights are getting longer
I do not close an eye
It haunted me through my head
Am I crazy now

I had so much to say
But the words did not come
It is so confusing
I have such sorrow

Start over
I feel empty me, where can I go
The rain is pouring benee
Start over
I feel empty me, where can I go
It now looks as if it's raining
Just for me

Your decision has been taken
But the door is ajar
You or disappeared
But be in my heart you still here

Where once your pillows layers
There is now one
I can still smell as
Good night darling

Start over
I feel empty me, where can I go
The rain is pouring benee
Start over
I feel empty me, where can I go
It now looks as if it's raining
Just for me

Now there is nothing to share
Because you share your love out
Sometimes running life differently
Usually you who do not see
Because if you really love someone
Are you blind
Because if you really love someone
Are you blind

Start over
I feel empty me, where can I go
It now looks as if it's raining
Just for me"
Andre Hazes,De Glimlach Van Een Kind,,,"You are so wise that says a child
You are so gray that says a child
You're married, that says a child
You're already old, that says a child

Think yes, one more wrinkle
You're getting really old man
But before you think, how well must
She grabs your hand and smiles at you

refr .:
The smile of a child
Makes you realize that you live
The smile of a child
It has a life ahead
That life is worth
Sometimes with some sadness
But with love, happiness and fun in the offing
The smile of a child
Playing with a train or a pop
Such a smile makes you happy
There can no longer compete with feast
What does it matter whether you get older
That still does not matter anymore
Because you feel happy
Even though you have no penny

refr

Lalala ..."
Andre Hazes,Toe Laat Me,,,"I have nothing to lose
Nothing stands me in the way
Believe me
I nothing wrong
But believe me I know what I say to you

You, you wanted everything
No you never enough
Yes believe me it's over
I can make my world now, but I can do without you

I can go wherever I want
Well under clubs and restaurants
Jeans said no more
No thank you, but that hurt
'T is at
past

Delicious nothing to lose
No false friends at home
I hope that from now on always rains
Then the sun shines for me
Although I have nothing, I am free

TO LET ME!

Let me add ..."
Andre Hazes,Sterk Wil Ik Zijn,,,"[Intro]
Hey, we should really have to go, we'll go

[Verse 1: Rico]
I leave the house and hearth
My entire possessions to my skin and my hair
With a covered wagon and horses along ancient canals
Below the
Sassenpoort
 by for a chat and drink
D'r d r market is rubbish and I perish with the draw
So I go to McDonalds or recall
Pizza al Tonno
But nothing in life is
My meal is hot
Therefore, I take it and eats it in the park
In the park I see Kyle, Stan, Cartman and Kenny
And that bottle
malt whiskey
 this sets the mood
I take a sip and salute the men and walk to my hideaway
Where I take blob on the couch and give Sticks Hand

[Verse 2: Sticks]
How is it going?
Sitting on a bench I park
Long Flying thoughts raked
Caricatures carts past a crate
Or rather a tray Hollandia is gesparkt
You see, wanderers are guests who hung
They feel lucy, spacend with diamonds
They provide the constinatie
Have seen the light, or maybe it's religious mania
Walking down the street talking to himself
Traffic controllers need to leave to skotoe
Walkers and footballers in other phases
Walkman on my head put it to stop and chat

[Verse 3: Rico]
We clap a tearjerker Andre Hazes
With my Mattie evening in the full moonlight
Besides the trunk awake as bakeries
It is unfortunate that the
Wezenlanden park
 no longer there
due to renovation
Therefore, wait until it is finished
But I've been waiting for another year
It is serving a sentence for guests in jail
But I hang on a park bench
And keep an eye on things as prison guards

[Hook: Bert Vrielink]
I sit on a bench, on the canal
The streets are flooded, no one laughs
The wind, imagines himself away from traffic
Langszwierend, the swoft and defense
Sand and leaves, veins streets through the city
Hear them whispering, I want to listen while

[Bridge: Stick]
Sitting on a park bench
Completely entranced people walking along
Visualize
Share my thoughts corridor
Everyone is the same, we are equal in rank
Every day the question
How do I do my dance
Draw my conclusions
Make it music
Share it with you
Come sit on the bench

[Verse 5: Rico]
Mom throws balls, dog after it
A koter falls to the ground and whining calls to his mom
Joggers in the rate of elderly
Jogging about the studded with shells paths
In the grass a young couple to sew
I can guess;
The park is a paradise on earth
Both with a hangover and we talk about track
Ask for a rogue and picking Medium shag

[Verse 6: Sticks]
We took advantage of everything on this place
I looked at my life from under me worn cap
I wrote mn lines
Usually at this site
We bought anything we put it in our training jacket
And everyone has that kind of tricks when it is young
Brats arrange anything in a few seconds
I hung with skaters with little tray with lager
Breakers at parties and meat on the grill

[Bridge: Stick]
Sitting on a park bench
Completely entranced people walking along
Vizualiseer
Share my thoughts corridor
Everyone is the same, we are equal in rank
Every day the question
How do I dance mn
Pull my conclusion
Make it music
Share it with you
Come sit on the bench"
Andre Hazes,Zo Heb Ik Het Nooit Bedoeld,,,"A canal, a door
And behind that door I was being
I knew you were there
But I started the worst fear
Because you were not alone
His image went through me
Yes, now I know why you went so fast
So I have not ever meant
No, I have not ever felt
No, I was talking not expect
Another in your home to share with you all night
So I have not ever meant
No, I have not ever felt
No, I was talking not expect
I beg you, send him away, I want to be with you all night
I listen to your door
And know that he's my whiskey drink
And you, you drink wine
That took you so cozy in 't sound
But you told me
Oh, is it over now?
Tonight there is another side to you
So I have not ever meant
No, I have not ever felt
No, I was talking not expect
Another in your home to share with you all night
So I have not ever meant
No, I have not ever felt
No, I was talking not expect
I beg you, send him away, I want to be with you all night
So I have not ever intended (D, as)
No, I have not ever felt (no, no, so)
No, I was talking not expect
I beg you, send him away, I want to be with you all night
So, I have not ever meant
No, I have not ever felt
No, I was talking not expect
Another in your home to share with you all night
Oh, so, I have not ever meant"
Andre Hazes,Zonder Jou,,,"I've been here for hours now
Through the window I watch the street
I know you do not come, but I hope
'T, and the drops of Regent
I count them on my window
I am not too far because I always hear your name
It's cold without you
Yet I remain your faithful
I do not need to say I love you
If you look in my eyes said enough
I need you always say, ""Honey, I love you""
I gave you everything you asked me
It is still only at home
Please come home yet again
I do not need to say I love you
If you look in my eyes said enough
The night has fallen
The lights are already
For me it is already a long night
How long this will last?
My windows covering
With my finger I write slowly your name
It's cold without you
Yet I remain your faithful
I do not have to say that I love the
If you look in my eyes said enough
I need you always say, ""Honey, I love you""
I gave you everything you asked me
It is still only at home
Please come home yet again
I do not need to say I love you
If you look in my eyes said enough"
Andre Hazes,Minuten Duren Uren,,,"Sometimes I imagine
I hear you talking
What went through your head
Could you just leave me
Suddenly you were gone
Yes without a word
I thought you had it fine
I never heard anything
But dark clouds
They are gathering
And I look outside
See your face in the window
Minutes seem like hours
Days seem weeks
Why are you the charms
Those other succumbed
No. I'll never forget you
My thoughts are with you
Still, you left me alone
I still love so much
Days and nights
They fly past
If I look at your picture
Are you so close to me
No you is very deep
Deeply secure in me
And if you come back again
I will always care for you
We mention both
We do not have to talk
I hold you tight
To never let go to
Minutes seem like hours
Days seem weeks
Why are you the charms
Those other succumbed
No. I'll never forget you
My thoughts are with you
Still, you left me alone
I still so much you
Does my life have meaning
New chance new beginnings
Will not blame
Do not worry for that
Those days without you
They take way too long
Because you're still the one
I so wish
Minutes seem like hours
Days seem weeks
Why are you the charms
Those other succumbed
No. I'll never forget you
My thoughts are with you
Still, you left me alone
I still love you so much
Oh love you
..."
Andre Hazes,Geef Mij Een Teken,,,"You sit next to me you are silent
Your hands cold room cold
Why do not you tell me
Where the pain is your pain
You do not talk to me
Looks past me walking past me
While we all together they shared side
Chorus: 2x
Give me a sign let me know what you feel
Maybe I can understand what you really mean
I know I can continue
Or have gone out of your heart
Tell me right now what I can do for you
I remember the day
You lay beside me for the first time here
You said to me
Feel happy and so free
Your hands through my hair
It was so beautiful you seemed so happy
But now you're cold and quiet here beside me
Chorus: 2x
Release me from my pain
Do this may not be true neeeeee
I know I can continue
Or have gone out of your heart
Tell me right now what I can do for you
Oh tell me now tell me now what I can do
Surely it does not have to be right?"
Frans Duijts,Hij Is Niet Goed Voor Jou,,,"I spent years lying dreams
That this would come from
Are weather so in love
(He is so in love Yeah)

My blood will flow faster
You are like in my dreams
I'm feeling good
I'm excited
Nothing is too crazy for me
I'm good again away
And I hear a beautiful melody
For you dear I'm on my knee

Together on the beach
Running through the sand
No one will ever separate us
Enjoy the sun
On the horizon
Our love will stay
time stood still, but that's what I want
Every year I want this experience
What we have fun
Nothing is too crazy
You're where I live

I take you in my arms
I will hard heat
Can not live without you (can not live without you)
You are my senorita
We drink magaritha
Yes you're mine (he is for you yeah)
We are in a very distant land
And look at the light
Of the moon over the ocean
I want to go with you

Together on the beach
Running through the sand
No one will ever separate us
Enjoy the sun
On the horizon
Our love will stay
time stood still, but that's what I want
Every year I want this experience
What we have fun
Nothing is too crazy
You're where I live

Together on the beach
Running through the sand
No one will ever separate us
Enjoy the sun
On the horizon
Our love will stay
time stood still, but that's what I want
Every year I want this experience
What we have fun
Nothing is too crazy
You're where I live

Time stood still but oeoeoeo
You are where I live"
Frans Duijts,Ze Hield Eerst Van Mij,,,
Frans Duijts,Ik Mis Je,,,"The last bar is closed
Walk through the rain in the neon light
The moon rises, shines the asphalt
See you face
What have I done to you
How could I let you just stand
I let your hand go, was God los
And I left
I miss the smile in your eyes
I miss you Can not believe
I miss you I miss you day and night
I go to a dating site
She looks like your, you were a woman m
I never wanted to lose you
I do not get out of my bed
No daylight, television or city noise
Not shave, clean clothes
It makes me nothing more from
I miss the smile in your eyes
I miss you Can not believe
I miss you I miss you day and night
I miss you I miss you
I miss you day and night
I miss the warmth around me
I miss you I can not do it alone
I miss you I miss you day and night"
Frans Duijts,Zeven Dagen Zonder Jou,,,
Frans Duijts,Huil Niet Om Mij,,,"Do not cry for me I can not see all those tears of yours
Everything you gave me carry with me all my life
But t'is over and over forever
Do not cry for me because these tears I have not deserved
I might say more but I had nothing to explain
Yet you remain my best friend
Do not cry for me
I see you You feel here I never meant
But that dream I ever had is no more
I had a long fight that I had said
But I have to be honest, even though I feel the pain
Do not cry for me I can not see all those tears of yours
Everything you gave me carry with me all my life
But t'is over and over forever
Do not cry for me because these tears I have not deserved
I might say more but I had nothing to explain
Yet you remain my best friend
Do not cry for me
Do not cry for me I can not see all those tears of yours
Everything you gave me carry with me all my life
But t'is over and over forever
Do not cry to me about me"
Frans Duijts,Ga Maar Vast Slapen,,,"Lived, sometimes caught it paid an artist
Fame and applause, which is where he chooses
But it flows through my blood
It touches and embraces me
The moments that I can not be with you
Touch my soul and make me often hurt
Because you are for me
My hope and confidence
I stand for the people I love so much
But by every word that I sing, I think every time you

Go ahead sleep, turn off the lights but now out
I'm enjoying things here have to close here
Do not wait up, love, well you know how it goes
One more sip, one more song
And I'm like always stuck again late

In spite of the airs and gloss of the night
I know you're alone at home waiting for me
And any moment just is dreaming
Tonight is yours, you shall not prevail
No need, no people, nobody around us
And that will remain of us our time
I'm back for the people I love so much
But by every word that I sing I think every time you

So, go solid sleep, turn off the lights but now out
I'm enjoying things here have to close here
Do not wait up, love, well you know how it goes
One more sip, one more song
And I'm like always stuck again
So often, but always on the road
""K I wish you always had with me
But the shelves, waiting
The lights are on
Forgive me, darling, but I am sorry again

Go ahead sleep, turn off the lights but now out
I'm enjoying things here it until it closes here

Go ahead sleep, turn off the lights but now out
I'm enjoying things here have to close here
Do not wait up, love, well you know how it goes
One more sip, one more song
And I'm like always stuck again late
(La la la)
Fixed again late!
(La la la)
As always stuck again late
(La la la)
As always stuck again late"
Frans Duijts,Laat Me Nooit Alleen,,,"All words, all arguments
pass found nowhere
I want to do something about it
But I draw the excess
'K Do not you go away
But why now running
Not as we want
While I love you so much
When I choose my love may
Will this never pass
Because for me there is only one and that's you
Let me never, never alone
Where do I go (where to go)
Without you
Let me never, never alone
Because where do I go (where to go)
I can not live without you
I have found many hearts
left me
'K Was not the best to talk it out to
Every reminder, which reminds me a lot of pain
""I pray learned from it
'K Hope it will never be so
When I choose my love may
Will this never pass
Because for me there is only one and that's you
Let me never, never alone
Where do I go (where to go)
Without you
Let me never, never alone
Because where do I go (where to go)
I can not live without you
If I make may choose
Will this never pass
Because for me there is only one and that's you
Let me never, never alone
Where do I go (where to go)
Without you
I ask you let me never, never alone
Because where do I go (where to go)
I can not live without you
No day without you ever"
Frans Duijts,Waarom Kon Ik Jou Niet Vertrouwen,,,"I got you against
You walked down the street
It was in the rain
In the dark, late at night
I ran after you
And was shocked by what I saw
You went with a guy
Who paid you for a night
Why could not I trust you?
I never had you just for me?
The love that you're looking at another
What I gave you was really sincere
Why could not you build?
Our love was not real?
How could I love you?
Will you ever regret
For you are all bad
You saw me in a mirror
You startled and fled
But to no avail
Because believe me when I say:
Our love is over
No, it does not love me
You have to believe me
It's over, really over
Why could not I trust you?
I never had you just for me?
The love that you're looking at another
What I gave you was really sincere
Why could not you build?
Our love was not real?
How could I love you?
Will you ever regret
For you are all bad
Why could not I trust you?
Our love was not real
How could I love you?
Will you ever regret
For you are all bad"
Frans Duijts,Helemaal  Verloren,,,
Frans Duijts,Dubbelleven,,,
